LineCode,LineText,Comment
line:675d661a,"A: Hey, I'm a character in a script! ",
line:cde582fb,"B: And I am too! You are talking to me! ",
line:fa2e1356," What's going on ",
line:6c0fb745," Um ok ",
line:38b2353e,"A: Why this is a demo of the script system! ",
line:31ad4160,"B: And you're in it! ",
line:036fb4f1,"A: How delightful! ",
line:d35a9665,"B: What would you prefer to do next? ",
line:e6cebba9,Leave,
line:30ee1a0e,Learn more,
line:1971e104,"A: Oh, goodbye! ",
line:39d35a39,"B: You'll be back soon! ",
line:a2d211b5,"A: HAHAHA ",
