id,text,file,node,lineNumber
line:794945,"Spieler: Hey Sally. ",Sally,Sally,7
line:2dc39b,"Sally: Oh! Hi. ",Sally,Sally,8
line:34de2f,"Sally: Du hast dich einfach so angeschlichen. ",Sally,Sally,9
line:dcc2bc,"Sally: Lass das. ",Sally,Sally,10
line:a8e70c,"Spieler: Hey. ",Sally,Sally,12
line:305cde,"Sally: Hi. ",Sally,Sally,13
line:5d7a7c,Ist was während deiner Schicht passiert?,Sally,Sally,17
line:0a7e39,Entschuldigung wegen der Konsole.,Sally,Sally,21
line:0facf7,Mach's gut.,Sally,Sally,23
line:8c3f98,"Sally: Nicht wirklich.  ",Sally,Sally.Watch,31
line:24c418,"Sally: Der Nebel nebelt halt vor sich hin. ",Sally,Sally.Watch,32
line:df4eaf,"Sally: Ach, das Schiff wollte mit dir reden. Geh mal rüber.",Sally,Sally.Watch,33
line:1fea6c,"Spieler: Schon geschehen! ",Sally,Sally.Watch,36
line:5df323,"Sally: Rede nochmal mit dem Schiff. ",Sally,Sally.Watch,37
line:60c282,"Sally: Mach's gut. ",Sally,Sally.Exit,46
line:d7df49,"Sally: Ja. Mach das nicht nochmal. ",Sally,Sally.Sorry,54
